,prompt
22,human goth groot ; adult male 3 0 years ; glowing green eyes ; scientist ; smug ; sharp face ; slender ; vampire ; wearing a high tech set of heavy metal armour ; robot ; trending on artstation ; high detail ; digital art ; in the style of berserk 
23,"a painting of a castle in the middle of a snowy mountain, a detailed matte painting by andreas rocha and greg rutkowski, featured on artstation, fantasy art, matte drawing, matte painting, artstation hq "
24,"an disney animation of the death character working in a open-space, 1970."
25,"a male patient in a wheelchair in the hospital with his wife and son standing by. happy, cheerful, smiling, intricate, face enhance, sharp focus, cinematic lighting, featured in artistation, 8 k, art by greg rutkowski, william adolphe bouguereau "
26,"Francisco Franco playing basketball at Madison Square garden, unreal engine, 4k, artstation, photorealistic"
27,"panda, professional portrait photography, candid photography, candid photography, highly detailed, accurate "
28,“Manila airport terminal 3 with a better interior”
29,"a skyscraper but makeshift squatter shacks, dystopia, sony a 7 r, f 1 1, fully frontal view, photographed by gursky "
30,"futuristic generative design sneakers with neon lights in the style of cyberdog, product shot, dynamic lighting, octane render "
31,"Ami is a 14 year old anime girl who has short, very dark blue hair that reaches her neck, and dark blue eyes. She stands at about 157 cm or 5 feet 2 inches. She is shy and wears trendy clothes"
32,"an cowboy laughing and enjoy his drink of beer with friends, photography, realistic, detailed, - n 9 "
33,"strange funny creatures peek out of the bushes in the foreground, in the background is an old university building, ultra realistic with maximum details"
34,orthographic photo of dense oversized petrol coloured jungle plant life intertwining with abstract neon signs. dark deep colours black background 
35,"The Kraken Awakes, by Shah Jahan"
36,"anya forger, highly detailed, character art, anime. "
37,"high fantasy 1 9 8 0's wargame airbrushed artwork - inspired octane render, a model wearing an iridescent clear latex jacket and colorful iridescent glittery makeup posing in a volcanic black rock landscape "
38,"portrait of a stoic vampire, red and white, white woolen turtleneck dress, flowing red ponytail hair, small demon wings from hair, symmetry face, science fantasy, extremely detailed, holographic, smooth, digital illustration, by, kuvshinov ilya, james jean, by rossdraws, frank franzzeta, sakimichan, jeremy lipking "
39,"a multilayered mixed media street art on paper bursting with nostalgic pop culture and hiphop references, punk and graffiti symbols and tattoo designs, sharp details and in focus, high resolution, flat evenly lit background, art by stikki peaches "
40,"man painfully twisted into a spiral, realistic "
41,"symmetry!! brazilian bald bouncer, muscular, tight outfit, solid cube of light, hard edges, product render retro - futuristic poster scifi, lasers and neon circuits, brown skin intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, dreamlike, art by artgerm "
42,"goblinface bugbear, art by artgerm and greg rutkowski and magali villeneuve, greeneyes, blackfur, d & d, fantasy, portrait, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration "
43,donald trump as the homunculus drawing. digital art 
44,a strong horse with a rhino horn 
45,"attractive male deity casts light spell, summons attractive male lucifer morningstar. highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker 8 k "
46,"jeff bezos as an alien invader, photorealistic, cinematic lighting, highly detailed, very intricate, by hr giger "
47,"group of identical athletic humans with light blue neoprene suits and white hair standing in a line on a conveyor belt, background of advanced futuristic laboratory, sci - fi, highly detailed, hyperrealistic "
48,"movie still of socrates walking in an ancient rome marble blue bathroom with red drapery under the snow, cinestill 8 0 0 t 3 5 mm, by tarkovsky, very heavy grain, high quality, high detail, very low angle "
49,"black - haired girl with wild spiky black saiyan hair with long bangs over her eyes, standing next to salty sailor men, wearing casual clothing, standing on an alaskan fishing vessel, mekoryuk, alaska, 1 9 6 5, polaroid, kodachrome, grainy photograph "
50,product shot of an Xbox 720
51,"anime manga skull portrait young woman skeleton, artgerm, painterly, logo, graffiti, elegant, highly detailed, digital art, art by jc leyendecker and sachin teng "
52,"close up of winnie the pooh cooking a hog roast, cinematographic shot, by daniel f. gerhartz "
53,"a detailed illustration of a lonely girl against the background of a ravaged city and a red moon, artstation, by Mandy Jurgens, sophisticated, Unreal engine, dystopia, anti-utopia, post processing, nostalgic melancholic artwork, intricate"
54,the royal king's pomeranian by greg hildebrant fancy rococo baroque regal puppy oil painting high quality award winning clothed in fancy garb 
55,"only with red, a red superhero with mantle raise, in a red city, red broken toys on the floor, in the style of beksinski, parts by edward hopper, parts by rodcenko, parts by yue minjun, intricate and epic composition, red by caravaggio, insanely quality, highly detailed, masterpiece, red light, artstation, 4 k "
56,"light bohemian teen pinterest  floral fantasy fashion zine photography, teen magical girl girl styled in a yellow and silver patterned bright dress layers geometric festival face paint and ornate crystal chain jewelry headpiece, elaborate enchanted ritual scene, wide shot"
57,dog in the style of cyberpunk cowboy bebop 
58,"sky transitioning from day to night, one half is sunny, other half is starry and dark, empty field, illustrated by peggy fortnum and beatrix potter and sir john tenniel "
59,"award winning photo of some melancholy as antonioni would depict it, she is 2 3, she is beautiful, british journal of photography, photorealistic, closeup, black and white, insanely detailed, facial features details, foggy like in norwegian black metal anesthetic "
60,"cookie monster sits on a throne made of cookies, demon from the dictionarre infernal, etching by louis le breton, 1 8 6 9, 1 2 0 0 dpi scan, ultrasharp detail, clean scan "
61,"a picture of an alien planet, taken from orbit, dark blue planet, red narrow lava rivers, center of the frame "
62,"only with red, uncle scrooge buys a red canvas, a lot of money on the ground, in the moma museum, in the style of beksinski, parts by edward hopper, parts by rodcenko, parts by yue minjun, intricate and epic composition, red by caravaggio, insanely quality, highly detailed, masterpiece, red light, artstation, 4 k "
63,"a professional photographic view picture of a giant neon robot coming out of the dark ocean ,photographic filter unreal engine 5 realistic hyperdetailed 8k ultradetail cinematic concept art volumetric lighting, fantasy artwork, very beautiful scenery, very realistic painting effect, hd, hdr, cinematic 4k wallpaper, 8k, ultra detailed, high resolution, artstation trending on artstation in the style of Albert Dros glowing rich colors powerful imagery nasa footage drone footage drone photography"
64,valuable first Magic the Gathering card found from 1842 Horse
65,"complex 3 d render hyper detailed ultra sharp beautiful futuristic close - up stunning biomechanical humanoid woman with carved porcelain ivory fair face, iris van herpen daisies corals cyberpunk filigree lace haute couture headdress with rhizomorph finials spires, white mecha, brackets, fractal red puffballs, octane render, dof, 8 k "
66,"an array of tesla coils inside a shattered glass dome in a warehouse, tesla coils, shattered wall, trending on artstation, isometric painting by totem 2, ashley wood, jeremy mann, award winning masterpiece, symmetrically isometrically centered "
67,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. photograph, postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat. motorcross helmet. gentleman elegant magician. fancy, decorated, eerie. dove and bunny symbolisms. "
68,the batmobile trapped in the flow of time. photorealistic. octane render. 8 k. monochrome. cinematic. 
69,"expressive oil painting, of alluring european princess, seductive look, smirk, smooth glowing skin, glistening body, love, adoration, sweat, full body tattoos, ornate headpiece made from stones, glamour shot, by yoshitaka amano, by greg rutkowski, by jeremyg lipkinng, by artgerm, digital art, octane render, grunge aesthetic "
70,"painting of a cloaked tech priest holding a book, cybernetic enhancements attached to his body, covered in wiring, praise the omnissaiah, Zdzislaw Beksinski, Lewis Jones, mattias adolfsson, Warhammer 40K!!, cold hue's, cold tone gradient background, concept art, digital painting"
71,A portrait painting of a siberian husky by Rembrandt
72,"Donald Trump with silver-violet hair, white eyes and golden glittery dress, wide lens, diorama, 4k,"
73,"man reading newspaper in a bar, dieselpunk "
74,"gorgeous woman wearing a tanktop, with light blonde shoulder-length hair, in the style of Ilya Kuvshinov and mark arian"
75,"the interior of a car at night time as its raining, digital art"
76,"color portrait of stalin, accurate digital art "
77,"a portrait of lucifer, concept art, deep focus, intricate, highly detailed, digital painting, artstation, matte, sharp focus, illustration, art by greg rutkowski and alphonse mucha "
78,"Big head man with giant moon like bald head, digital art rendering 4k HD"
79,"suburbs, sunrise, backlighting, giant ash tree, broken metal fence, polluted city panorama far away, gouache matte painting by pixar studio makoto shinkai "
80,"a film still of The Terminator in a red woman dress, long shot"
81,"video game cover, reaper dressed with a cape surrounded by demons, mid view, design on a black background, by studio muti, greg rutkowski makoto shinkai takashi takeuchi studio ghibli "
82,"mysterious shimmering beautiful translucent mutated slime creature, silver, transparent parts, surrounded by nature, foggy, close - up, macro, concept art, intricate, detailed, award - winning, cinematic, octane render, 8 k, photorealistic, by emil melmoth, by wayne barlowe "
83,"painting of a necro goddess, highly detailed, digital painting, artstation, concept art, matte, smooth, sharp focus, illustration, art by yoji shinkawa, willem claesz heda and j. dickenson, 8 k "
84,"Girl with dark brown hair, on her phone, in a bright room, contemplating if she should join a group chat, trending on artstation, artstationHQ, artstationHD, artstation photorealism, 4k, 8k"
85,"Psychedelic Inter-dimensional freemasonic occultic chequered trippy dreamscape in the style of a photo-realistic album cover by Howard Finster,  Michael Cheval (unreal engine, 3d highly detailed, 8k, UHD, fantasy, dream, otherworldly, bizzare, spirals, colourful, vivid)"
86,"Dave Grohl, wearing a suit, sitting behind a desk, working in a call center, polaroid photograph, upscaled to 4k"
87,"ethereal beautiful woman with long curly hair in romany gypsy outfit, high detail, detailed dark eyeshadow, brown dark aesthetic, fantasy "
88,"kate upton in floral dress, 3 d render, pop art of kate upton wearing a neon floral dress, vivid colors, negative colors, high contrast, big shadows, high definition, artstation, concept art "
89,a tortoise speeding 8 8 mph back to the future 
90,cartoon punk with a green mohawk and a black leather jacket on a pirate ship 
91,"an epic painting megapolis, oil on canvas, cold colors, perfect composition, golden ratio, beautiful detailed, photorealistic, digital painting, artstation, concept art, smooth, sharp focus, illustration, cyberpunk background, artstation trending, octane render, unreal engine"
92,"a fairy dancer dressed in a very elegant dress, with beautiful bohemian details, in the center of a paris street, city lights, by artgerm "
93,"real life cat - like pokemon, cute!!!, heroic!!!, adorable!!!, playful!!!, chubby!!! fluffly!!!, happy!!!, cheeky!!!, mischievous!!!, ultra realistic!!!, spring time, slight overcast weather, golden hour, sharp focus "
94,4k mushroom
95,"lord of the rings the gates of night, melkor, painted by zdzisław beksinski "
96,bridget guilty gear beating harry potter in professional wrestling match 
97,"cute miss mascot dardargnan dardargnan beedrill pokemon sticker art, cronobreaker, beeple game icon "
98,"doc savage, D&D, fantasy, portrait, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve"
99,"propaganda poster, miley cyrus, close up, portrait, shouting "
100,"realistic detailed image of a little  small boy in a ##hospital bed## in a huge sand desert. sand falls from the sky in to eternal eternity doom of outer space.  by  Ayami Kojima, Amano, Karol Bak, Greg Hildebrandt, and Mark Brooks, Neo-Gothic, gothic, rich deep colors. Beksinski painting, part by Adrian Ghenie and Gerhard Richter. art by Takato Yamamoto. masterpiece .ntricate artwork by Tooth Wu and wlop and beeple, greg rutkowski, very coherent symmetrical artwork, cinematic, hyper realism, high detail, octane render, unreal engine, 8k, Vibrant colors, Smooth gradients, High contrast, depth of field. by Katsuhiro Otomo, full body character drawing, inspired by Evangeleon, clean ink detailed line drawing, intricate detail, extremely detailed, 8k. painting by Arthur Rackham, Eugene de Blaas, Frederic Leighton"
101,"simple amish shepherds with flocks of sheep in open fields, art by anders zorn, wonderful masterpiece by greg rutkowski, beautiful cinematic light, american romanticism thomas lawrence, greg rutkowski "
102,ishta 
103,"Manga cover portrait of an extremely cute and adorable beautiful Totoro playing Dance Dance Revolution, 3d render diorama by Hayao Miyazaki, official Studio Ghibli still, color graflex macro photograph, Pixiv, DAZ Studio 3D"
104,"Cthulhu appearing as a minecraft mob, in game screenshot"
105,"exterior view of istiqlal mosque tokyo at night, promotional architectural photo, but in setting of japanese cyberpunk, neon tones, cgsociety, artstation"
106,"an epic comic book style full body portrait painting of shirtless Meliodas bubble head, elegant, character design by Mark Ryden and Pixar and Hayao Miyazaki, unreal 5, DAZ, hyperrealistic, octane render, cosplay, RPG portrait, dynamic lighting, intricate detail, summer vibrancy, cinematic"
107,"painting of a boy fixing his robot by Lohmuller Gyuri and Victo Ngai, high angle, oil on canvas"
108,"Dramatic Portrait of Eunha from Viviz and gFriend with short hair wearin purple overall shorts, short puffy pants, white tights, Golden Ribbon, and a billowy scarf. Flowing Fabric. masterpiece 4k digital illustration by WLOP and JoAsLin and Ruan Jia and Mandy Jurgens and Artgerm and greg rutkowski and Alexander Tsaruk. award winning, Artstation, art nouveau aesthetic, Alphonse Mucha background, intricate details, realistic, panoramic view, Hyperdetailed, 8k resolution, intricate art nouveau"
109,"Dragon from game of thrones as russian matryoshka toy,"
110,"hyperdetailed mei from overwatch as a disney pixar character, hd texture, beautiful 3D render, 8k, octane render, soft lighting, stylized, in the snow, golden hour"
111,werewolf from van helsing unreal engine hyperreallistic render 8k character concept art masterpiece
112,"mr. krabs in black lipstick rolling his eyes like a goth teenager, final fantasy character concept by yoshitaka amano, woodcut printing, etching, interacte smooth flowing lines, intracate brushwork, watercolors and acrylics - 9 "
113,frank ocean making music in the studio
114,Mirrors coming alive
115,"high detail photo of a akita inu dog waiting alone at an empty foggy train station, orange green lighting, desolate, atmospheric, hazy, 8k, reflections"
116,website icons with white background 
117,"3 d portrait of a gundam robot skateboarder on a skateboard, tall palm trees in the background, skateboarding, venice beach, sandy beach, vintage board, concept art, intricate details, octane render, trending on artstation, summer vibe "
118,the secret elixer in its secret hiding spot fantasy digital 4 k greg rutkowski art station 
119,An enchanted fantasy waterfall. Cinematic lighting. Photorealism.
120,"girl with blonde hair and red eyes wearing headphones, sleeveless turtleneck. digital painting, by valerian city of a thousand planets, by ruan jin #, by mandy jurgens #, by artgerm #, william - adolphe bouguerea # "
121,"group of mice wearing chef hats, cooking steak in the kitchen"
122,"a walking dead style poster of Kermit the frog, serious, black and white, dirtied with mud stains, looks like an old wild west wanted poster, realistic"
123,"giant stomping foot on city, cinematic, stunning, elegant, highly detailed, psychedelic, digital painting, artstation, smooth, hard focus, illustration, art by jessica rossier and and brian froud "
124,"bar refaeli's portrait!!! inside a pickle jar, olive green, octane render "
125,"portrait, by dominik mayer "
126,"intense portrait of miles davis as a medieval priest, sepia photography "
127,"a young boy with a hat entering a huge mysterious and fantasy forest with a distant clearing, large openpath, mushrooms, large trees with giant leaves, lush exotic vegetation, large rocks with thick moss, glowing light, large bugs and fireflies flying around, very graphic illustration by jean giraud and victo ngai, ultradetailed, clean line, color comics style, dynamic lighting, night "
128,DMT pattern
129,"full, exoplanet photography "
130,"french dinosaur walking in the streets of paris, 3 5 mm "
131,saul goodman as a grand theft auto 5 character 
132,angry man in juggernaut armor burning a desktop tower pc with a military flamethrower 
133,"stunning portrait photography of smiling beautiful medieval old lady in simple background, award wining, canon 5 d mk 4, art lens, golden hour f 1. 4, "
134,joe biden sitting on a floating ring in the ocean
135,"high quality photograph of a city street at night, photo taken at eye height, nightlife, people walking, 4 k professional photograph, nice place to live, midrise buildings, narrow streets, soft warm street lamps, small windows, cozy, trending on artstation, detailed, beautiful, photograph, realistic "
136,"ultra realistic, a cybernetic anime girl, sci - fi, intricate details, eerie, highly detailed, octane render, 8 k, art by artgerm and alphonse mucha and greg rutkowski, artstation "
137,toshiro mifune and tatsuya nakadai swordfight from the film by akira kurosawa
138,"the level's floor is colored maroon and has a playground pattern, a table with a macintosh and the walls have a funtime pattern and a smiler, and this level smells like fart, writing on the wall, wires, blood on the wall "
139,"a very old black and white photography of a giant massive hippo on the beach, tiny boat, very old photo, grainy "
140,"left hand in space, sci-fir, realistic, futuristic"
141,"a beautiful tropical landscape, portrait of a dark - skinned greek god. 2 4 mm, photorealistic, abstract, directed by mati klarwein "
142,"pretty woman standing in front of a beautiful lake in a valley in the sierra nevada mountains, "
143,an apple!!!!! made of a tennis ball 
144,"a plasticine model of a bloodthirsty zombie, photograph, sharp focus, depth of field, cinematic lighting, inspired by ray harryhausen, "
145,"realistic detailed photo rendered in octane 3d , of a fully dressed little girl in a pink dress kissing a skeleton in an old creepy haunted house, by Francis Bacon, by Ivan Bilibin, by Alex Grey, by Austin Osman Spare.,  by  Ayami Kojima, Amano, Karol Bak, Greg Hildebrandt, and Mark Brooks ,  rich deep colors. Beksinski painting,  art by Takato Yamamoto.  masterpiece.  rendered in blender, ultra realistic, smooth shading, ultra detailed, high resolution, cinematic, unreal 6"
146,"the james ensor cheese nightmare about rice chess, which is played by the rice robots "
147,"a photograph of an attractive female model with a symmetrical face surrounded by photorealistic fruits and vegetables, vivid colors, soft lighting, atmospheric, cinematic 8 k "
148,"cinematic screenshot of a delicious looking birthday cake ; crisp sharp focus ; ultra realistic, concept art, intricate details, food photography, highly detailed, photorealistic, octane render, 8 k, unreal engine. art by artgerm and greg rutkowski and charlie bowater and magali villeneuve and alphonse mucha "
149,"a portrait of a stunning beautiful elite megan fox gundam pilot, with an intricate, detailed, urban inspired hiphop afro futuristic helmet, vector behance hd jesper ejsing, rhads, makoto shinkai, lois van baarle, ilya kuvshinov, rossdraws, hd, 3 2 k, ilya kuvshinov, gustav klimt "
150,"robust, bulky and muscular iron man suit in red dead redemption 2, cinematic, photorealistic "
151,Julius Caesar ordering pizza during Roman Times by Caravaggio
152,"minimal watercolor art cute flower pots on white background, illustration, vector art "
153,"a robot looking painter, painting on a canvas, creating art, highly detailed, dramatic, award winning "
154,a banana that looks exactly like ben stiller 
155,unsettling spooky grey mars rover footage 
156,"street view, ( ( ( ( ( ( ( dystopian ) ) ) ) ) ) ) utopian!!!!!, trending on artstation, fisheye!!! lens "
157,"kodak portra 4 0 0, 8 k, wide flashlight shot of a highly detailed, britt marling style, colour still - life portrait of a large minimalistic room, rough concrete walls, square pictureframes, a picasso painting, a 1 9 6 0 s table, 6 0 s chair, 6 0 s radio "
158,"a robot in class watching a film, part by el claudio bravo, part by greg rutkowski, part by mattias adolfsson, part guilleard, isometric, 3 5 mm, ( ( ( ( volumetric lighting ) ) ) ), oil on canvas "
159,"1 9 7 0 s photography, a giant battleship sailing on brutalist city main street "
160,hindu monks on greek senete baroque painting 
161,a still of johnny depp as an animated version of himself in dragon ball z 
162,"overview wide photography of a extraordinary complex colorfull intriguing imaginative sculpture of a mythical creature animal in a museum. smooth colors gradient ( james prosek, ellen jewett, zhelong xu, beth cavener, sayaka ganz, edouard martinet, john o'reilly zhelong xu ) "
163,"a watercolor painting of a mosque in istanbul by fikret mualla saygı, behance, modern european ink painting, photoillustration, storybook illustration, watercolor "
164,“ Darnell Nurse getting pooped on by a bird”
165,"a gorgeous flower princess portrait by WLOP, artgerm , studio photography, mystical, detailed flowers, 🌺 , vibrant colours, cgsociety"
166,"a beautiful detailed orixa 2 d tarot card by ellen jewett, tomasz alen kopera and justin gerard "
167,"beautiful portrait painting of a hiphop lofi cyberpunk princess girl and her corgi royalty, by Alex Gross, WLOP, Josan Gonzalez, Kieron Gillen. trending on Artstation, 8k, masterpiece, face enhance, graffiti paint, fine detail, full of color, intricate detail, golden ratio illustration"
168,"portrait of girl in fantasy world, art by yuki ryota and yoshitaka amano and kimio muraoka "
169,"a portrait of an unhinged man with ginger hair, by ross tran "
170,8 5 mm food photography of a plate of cinnamon rolls with strawberries and american pancakes at a restaurant with dof and bokeh and wine glasses o 
171,"a study of cell shaded cartoon of a chibi toad driving a tank on a desert road, street lamps, road, illustration, wide shot, subtle colors, post grunge, concept art by josan gonzales and wlop, by james jean, victo ngai, highly detailed, sharp focus, trending on artstation, hq, deviantart, art by artgem "
172,"decorative stone panel ornamented with Mayan gods giving instructions on building a ufo. Mayan artifact, 4K high quality museum collection photograph"
173,"Very complicated dynamic composition, realistic anime style at Pixiv CGSociety by WLOP, ilya kuvshinov, krenz cushart, Greg Rutkowski, trending on artstation. Zbrush sculpt colored, Octane render in Maya and Houdini VFX, close-up portrait of young redhead girl in motion, she is frightened, wearing military uniform, silky hair, stunning deep eyes. Very expressive and inspirational. Amazing textured brush strokes. Cinematic dramatic soft volumetric studio lighting"
174,"illustration, sharp focus, concept art, cgsociety, symmetrical, highly detailed, bright golden eyes in the night, digital painting, blue night lighting, album cover art, art by greg rutkowski, closeup portrait of a gray owl, artstation, alphonse mucha, cinematic lighting "
175,"poster artwork by Michael Whelan and Tomer Hanuka, Karol Bak of Quentin Tarantino the local video store kerk, from scene from Twin Peaks, clean, simple illustration, nostalgic, domestic, full of details"
176,"ornate detailed, airbrushed psychedelic demon cosmic cosmos space clown "
177,an illustration of a moose giving gift bags
178,"a bull android modeled after a bull looking into the camera, android, cyborg, half body, intricate, 3 d, hyper realism, fantasy, depth of field, octane render, symmetrical, highly detailed, digital art, artstation, concept art, cinematic lighting, trending "
179,A cyberpunk cafe painted by John William Waterhouse and Ilya Kuvshinov and Edward Hopper. HD
180,"a lot of little luminous jellyfishes floating on cosmic cloudscape at sunset, futurism, dan mumford, victo ngai, kilian eng, da vinci, josan gonzalez "
181,"portrait of superhero by greg rutkowski, michael biehn wearing a olive green, black and blue kevlar gear, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus ilustration, artstation hq "
182,"fat fat spherical bumblebee in a flower puking pollen, airbrush 8 0 s photography, polished, 8 5 mm, intricate, sharp detailed focus airbrush "
183,"donald trump and ivanka trump in the immaculate conception as goddesses with huge massive booties, doing squats in sling string bikinis, seductive cyberpunk dark fantasy, art by artgerm and karol bak and moebius and alphonse mucha and greg rutkowski, hyperdetailed, ultrarealistic, octane render, totally gonzo "
184,"a still of charlie chaplin in avatar ( 2 0 0 9 ), cinematic "
185,milt kahl pen and ink sketch of a rabbit silhouette standing by a tree in the forest facing away disney style
186,"a mimic disguised as a basketball, fantasy, digital painting "
187,the world's fattest man in the world.
188,"zyra, wide angle view, white, black, blue, pink, gold, highly detailed, artgerm, cushart krenz, trending on artstation, soft light, sharp edges, illustration, character design, concept art "
189,"un ultra high definition studio quality photographic art portrait of a young man standing on the rooftop of a british apartment building wearing opaque soft inflatable padded iridescent refractive streetwear clothing. three point light. extremely detailed. golden ratio, ray tracing, volumetric light, shallow depth of field. set dressed. "
190,"film still of willa holland as an attractive female green arrow in the 2 0 1 7 film justice league, bleach blonde hair, focus - on - facial - details!!!!!!, minimal bodycon feminine costume, dramatic cinematic lighting, inspirational tone, suspenseful tone, promotional art "
191,"a restored photography of a collection of contemporary objects, ( ( ( fauvisme ) ) ), in the style of memphis design, ( ( ( ( ( ( ( outdoor ) ) ) ) ) ) ), ( ( ( neo modernism ) ) ), 1 9 2 0, bright colors, documentary "
192,"a portrait of gemini mother earth vs human technology character portrait made of fractals facing each other, ultra realistic, wide angle, intricate details, the fifth element artifacts, highly detailed by peter mohrbacher, hajime sorayama, wayne barlowe, boris vallejo, aaron horkey, gaston bussiere, craig mullins "
193,artwork by greg rutkowski 
194,"ultra realist and ultra intricate detailed soft painting of a beautiful young girl, thin lustrous long auburn hair, symmetry features, blue eyes, rose in hair, gothic necklace, sensual gloomy style, volumetric clouds, urban background, military, assault rifle, artstation, unreal render, depth of field"
195,"a whimsical matte painting of a winding path through magic worlds, the garden of earthly delights by heironymous bosch, vast surreal landscapes and horizon by asher durand and cyril rolando and natalie shau, insanely detailed and intricate, elite, masterpiece, elegant "
196,an anglo - saxon illuminated manuscript guide to highway signage 
197,pikachu. by arian mark 
198,"dark cyborg assassin! cloak armour made of intricate complex circuitry and microchips, iridescent, black cape, warrior, colorful, intricate linework, gothic baroque, athletic stance, human face, magical, realistic oil painting, artstation, rutkowski, wlop, chebokha, artgerm, shinkai "
199,"toad sitting on a closed thinkpad laptop, makoto shinkai, james gilleard, ilya kuvshinov, very detailed, matte, gaussian blur, tone mapped"
200,a highly detailed matte painting of a single freestanding small donut shop with neonsign by studio ghibli by artgerm 
201,marina and the diamonds froot album cover
202,a cockroach by van gogh
203,a colorful bird drinking cola by bijou karman 
204,"a very beautiful anime cat girl, white hair, matte painting, by greg rutkowski and ilya kuvshinov and alphonse maria mucha and yuumei, super clear details, hyper realistic, trending on artstation, 8 k "
205,"hyper detailed 3d render like a Oil painting - a giant moridly obese man crushing a helpless city under his feet, despair, depressing and hopeless vibe, by Jacek Yerka, Mariusz Lewandowski, Houdini algorithmic generative render, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl, hints of Yayoi Kasuma, octane render, 8k"
206,"character concept portrait of a beautiful woman with pale face, flowerpunk, intricate, elegant, digital painting, concept art, smooth, focus, rim light "
207,"mysterious creatures, infinite quantum portal, synthwave, bright neon colors, highly detailed, cinematic, panoramic, tim white, michael whelan, roger dean, bob eggleton, lisa frank, vladimir kush, kubrick, kimura, isono "
208,"chaos by geert goiris, award - winning photography, concept art "
209,lily elsie
210,"game asset of the sims cyberpunk hongkong shadowrun furniture and decor, no characters, in gouache detailed paintings, vending machines, electric poles and box and traffic light, computer and console and mechanical, junkyard, props, stylized, 2 d sprites, kitbash, arcane, overwatch, blue and pink color scheme, 8 k, close up "
211,"beautiful mannequin sculpted out of onyx by billelis + lit with geometric neon printed lavender kintsugi!!! + doorway opening to a new dimension with geometric fractal vaporwave light + flowering bonsai trees!!!!, transcendent, clean linework, dramatic, moody, finely detailed, 4 k, trending on artstation, award winning, photorealistic, volumetric lighting, octane render "
212,cat 4K
213,a minotaur wearing steel plate armor and holding a mace
